,ACC_2,ACC_cue_d_high,ACC_cue_d_low,ACC_cue_t_high,ACC_cue_t_low,ACC_uncue_high,ACC_uncue_low,RT_cue_d_high,RT_cue_d_low,RT_cue_t_high,RT_cue_t_low,RT_uncue_high,RT_uncue_low
16,0.7625,0.9777777777777777,0.8936170212765957,0.9777777777777777,0.9534883720930233,1.0,1.0,764.216316050116,838.5035684355474,742.492088233116,821.7444988493171,797.8970572942332,795.5266964337634
17,0.7625,0.9787234042553191,0.9772727272727273,1.0,0.9767441860465116,0.967032967032967,0.9895833333333334,535.3849079233555,553.7947523622142,534.5721480838411,532.8109453435121,561.6045371527293,561.3111739296957
18,0.79375,0.98,1.0,0.98,0.98,0.9651162790697675,0.9897959183673469,539.3791235272126,617.7715850644131,521.5090095577448,538.7066991091457,545.7564380992345,605.7657231864894
19,0.8,0.98,1.0,0.9787234042553191,1.0,1.0,1.0,724.6145480173542,629.8671024992777,677.9271996716443,619.276485244587,681.9327323335227,629.1023518991074
20,0.85,1.0,1.0,1.0,0.9814814814814815,0.9809523809523809,0.9895833333333334,619.1705604352222,569.6448304521838,645.0169273210636,567.6676088987255,620.1632049608318,587.9050021874068
21,0.9020833333333333,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,637.994335881352,666.951986680796,579.5028334621178,649.1027412035819,611.2534009316331,670.3759572418736
22,0.9354166666666667,1.0,0.9661016949152542,0.9642857142857143,0.9821428571428571,0.9732142857142857,0.9646017699115044,433.6817529971766,450.3372729295636,417.5087390965578,455.618248534537,438.97263335336186,452.419674379264
23,0.7729166666666667,1.0,1.0,0.9534883720930233,1.0,0.9782608695652174,0.989247311827957,598.0348279047798,544.4296380201115,568.8598474597,564.3365857765001,547.9377164851725,564.5118177532331
24,0.7979166666666667,0.9795918367346939,1.0,0.9787234042553191,1.0,1.0,0.9777777777777777,589.7410933216522,647.913263055532,561.251774509,623.968484747587,608.4185822183298,623.5527898679167
25,0.8020833333333334,0.9583333333333334,0.8958333333333334,1.0,1.0,0.9438202247191011,0.9519230769230769,595.3772755783555,699.4445584516429,514.5169811061633,583.5506553161363,636.2075365960001,664.2932765173229
26,0.7625,1.0,0.9787234042553191,1.0,1.0,0.9782608695652174,0.967032967032967,665.0409303265457,768.3061908612391,630.2444342759301,679.998010453674,688.7457068986552,720.7166067982091
27,0.8520833333333333,0.9615384615384616,0.9622641509433962,1.0,1.0,0.9803921568627451,0.98,597.688480258,534.7813187514286,570.9628718325,531.7520606715002,628.8169960118862,563.6226557725579
28,0.7604166666666666,0.9767441860465116,0.92,0.9787234042553191,1.0,0.9659090909090909,0.989010989010989,948.43513058639,910.0302311410912,668.7019265120697,673.8607584765333,956.6712106708538,950.1357409641745
29,0.8208333333333333,1.0,1.0,1.0,1.0,1.0,1.0,825.1714627424566,890.2270349366669,719.8753859843113,806.8441843370997,830.5637713728605,890.655172228323
30,0.8791666666666667,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,539.0244773074338,577.0408625680598,525.573682634283,535.716250611891,579.8407548836285,580.7257982420826
31,0.7354166666666667,1.0,0.9772727272727273,1.0,0.9714285714285714,0.9278350515463918,0.989010989010989,679.7952005340909,690.9060331725609,681.511035392275,596.0918797920939,712.5294021618747,708.1649592998524
